Category	Title	Authors	Venue	Link
New	Non-Commutative Ring Learning With Errors From Cyclic Algebras	Charles Grover, Cong Ling, Roope Vehkalahti	submitted	https://eprint.iacr.org/2019/680
New	Polar Sampler: Discrete Gaussian Sampling over the Integers Using Polar Codes	Jiabo Wang, Cong Ling	submitted	https://eprint.iacr.org/2019/674
New	Lattice Reduction over Imaginary Quadratic Fields	Shanxiang Lyu, Christian Porter, Cong Ling	IEEE Trans. Signal Processing, vol. 68, pp. 6380â€“6393, Nov. 2020	https://arxiv.org/abs/1806.03113
New	Polar Lattices for Lossy Compression	Ling Liu, Jinwen Shi, Cong Ling	IEEE Trans. Inform. Theory, to appear	http://arxiv.org/abs/1501.05683
New	Secure Distributed Matrix Computation with Discrete Fourier Transform	N. Mital, C. Ling, D. Gunduz	submitted	https://arxiv.org/abs/2007.03972
New	Coded Caching in a Multi-Server System With Random Topology	N. Mital, D. Gunduz, C. Ling	IEEE Trans. Comm., vol. 68, no. 8, pp. 4620-4631, Aug. 2020	https://arxiv.org/abs/2003.05058
New	Two quantum Ising algorithms for the Shortest Vector Problem	David Joseph, Adam Callison, Cong Ling, Florian Mintert	Physical Review A, 103, 032433, March 2021	https://arxiv.org/abs/2006.14057
New	Not-so-adiabatic quantum computation for the shortest vector problem	David Joseph, Alexandros Ghionis, Cong Ling, Florian Mintert	Physical Review Research, Vol. 2, 013361, 2020	https://arxiv.org/abs/1910.10462
New	Semantically Secure Lattice Codes for Compound MIMO Channels	Antonio Campello, Cong Ling, Jean-Claude Belfiore	IEEE Trans. Inform. Theory, vol. 66, pp. 1572-1584, Mar 2020	https://arxiv.org/abs/1903.09954
Journal Paper	Ring Compute-and-Forward over Block-Fading Channels	Shanxiang Lyu, Antonio Campello, Cong Ling	IEEE Trans. Inform. Theory, vol. 65, pp. 6931-6949, Nov 2019	https://arxiv.org/abs/1805.02073
Journal Paper	Lattice Gaussian Sampling by Markov Chain Monte Carlo: Bounded Distance Decoding and Trapdoor Sampling	Zheng Wang, Cong Ling	IEEE Trans. Inform. Theory, vol. 65, pp. 3630-3645, June 2019	https://arxiv.org/abs/1704.02673
Journal Paper	Coprime Sensing via Chinese Remaindering over Quadratic Fields	Conghui Li, Lu Gan, Cong Ling	IEEE Trans. Signal Processing, vol. 67, p
